Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,United Kingdom,Baby Food,Offline,C,11/14/2013,881469428,12/30/2013,5247,255.28,159.42,1339454.16,836476.74,502977.42
Asia,Uzbekistan,Personal Care,Online,M,1/28/2012,838286721,2/7/2012,6524,81.73,56.67,533206.52,369715.08,163491.44
Middle East and North Africa,Bahrain,Office Supplies,Online,M,12/15/2014,752875316,1/27/2015,1391,651.21,524.96,905833.11,730219.36,175613.75
Australia and Oceania,Federated States of Micronesia,Beverages,Online,H,7/29/2019,917471539,8/17/2019,9072,47.45,31.79,430466.40,288398.88,142067.52
Middle East and North Africa,Libya,Beverages,Online,H,2/25/2019,794624221,2/27/2019,5820,47.45,31.79,276159.00,185017.80,91141.20
Central America and the Caribbean,Cuba,Clothes,Online,H,2/5/2019,367194688,2/27/2019,9923,109.28,35.84,1084385.44,355640.32,728745.12
Asia,Malaysia,Beverages,Offline,H,4/18/2010,588356769,6/1/2010,6697,47.45,31.79,317772.65,212897.63,104875.02
Central America and the Caribbean,Dominican Republic,Personal Care,Online,M,3/15/2017,231596791,5/2/2017,3492,81.73,56.67,285401.16,197891.64,87509.52
Europe,Moldova ,Fruits,Offline,L,9/1/2017,840713584,10/21/2017,4687,9.33,6.92,43729.71,32434.04,11295.67
Sub-Saharan Africa,Kenya,Beverages,Online,C,6/4/2012,879818475,7/6/2012,6693,47.45,31.79,317582.85,212770.47,104812.38
Middle East and North Africa,Morocco,Snacks,Online,H,10/3/2019,683335292,10/17/2019,2953,152.58,97.44,450568.74,287740.32,162828.42
Middle East and North Africa,Lebanon,Snacks,Online,L,9/1/2016,206000363,9/29/2016,8940,152.58,97.44,1364065.20,871113.60,492951.60
Central America and the Caribbean,El Salvador,Cosmetics,Offline,M,2/9/2019,372862517,3/26/2019,7160,437.20,263.33,3130352.00,1885442.80,1244909.20
Middle East and North Africa,Afghanistan,Vegetables,Offline,C,6/8/2012,829283082,7/27/2012,2147,154.06,90.93,330766.82,195226.71,135540.11
Asia,Bangladesh,Meat,Online,L,4/3/2010,390935885,4/14/2010,5471,421.89,364.69,2308160.19,1995218.99,312941.20
Middle East and North Africa,Iraq,Baby Food,Online,M,12/22/2016,193807256,1/10/2017,729,255.28,159.42,186099.12,116217.18,69881.94
Asia,Sri Lanka,Snacks,Online,L,10/13/2011,544196021,11/28/2011,8551,152.58,97.44,1304711.58,833209.44,471502.14
Asia,Nepal,Fruits,Offline,H,2/18/2018,468713510,3/19/2018,1598,9.33,6.92,14909.34,11058.16,3851.18
Sub-Saharan Africa,Nigeria,Baby Food,Offline,M,11/14/2012,864283549,12/28/2012,9563,255.28,159.42,2441242.64,1524533.46,916709.18
Australia and Oceania,Kiribati,Fruits,Offline,H,2/12/2017,448142468,3/13/2017,4170,9.33,6.92,38906.10,28856.40,10049.70
Europe,Iceland,Meat,Online,H,1/26/2016,707839095,2/6/2016,4173,421.89,364.69,1760546.97,1521851.37,238695.60
Asia,Cambodia,Beverages,Online,L,10/25/2017,951234757,11/26/2017,358,47.45,31.79,16987.10,11380.82,5606.28
Asia,Uzbekistan,Household,Online,L,11/28/2015,556503283,12/16/2015,543,668.27,502.54,362870.61,272879.22,89991.39
Sub-Saharan Africa,Sudan,Snacks,Offline,L,2/3/2016,322131001,2/16/2016,4577,152.58,97.44,698358.66,445982.88,252375.78
Sub-Saharan Africa,Malawi,Office Supplies,Offline,H,4/11/2020,216916739,5/29/2020,9338,651.21,524.96,6080998.98,4902076.48,1178922.50
Europe,Denmark,Office Supplies,Online,M,6/26/2010,729971826,7/9/2010,3740,651.21,524.96,2435525.40,1963350.40,472175.00
Europe,Belarus,Household,Offline,H,5/12/2018,620720088,6/25/2018,3723,668.27,502.54,2487969.21,1870956.42,617012.79
Europe,Luxembourg,Snacks,Online,C,11/23/2012,968897855,12/26/2012,7261,152.58,97.44,1107883.38,707511.84,400371.54
Sub-Saharan Africa,Madagascar,Snacks,Online,L,9/15/2012,224553954,9/28/2012,9360,152.58,97.44,1428148.80,912038.40,516110.40
Europe,Monaco,Cereal,Online,L,7/9/2016,958049714,8/12/2016,7055,205.70,117.11,1451213.50,826211.05,625002.45
Sub-Saharan Africa,Cote d'Ivoire,Fruits,Online,M,3/25/2019,410058963,4/21/2019,4414,9.33,6.92,41182.62,30544.88,10637.74
Australia and Oceania,Marshall Islands,Household,Online,C,3/22/2017,841568028,5/4/2017,7536,668.27,502.54,5036082.72,3787141.44,1248941.28
Sub-Saharan Africa,The Gambia,Snacks,Offline,L,9/29/2013,983875739,10/16/2013,9550,152.58,97.44,1457139.00,930552.00,526587.00
Sub-Saharan Africa,Equatorial Guinea,Cereal,Offline,H,7/16/2013,988593423,9/3/2013,5617,205.70,117.11,1155416.90,657806.87,497610.03
Sub-Saharan Africa,Namibia,Personal Care,Online,C,7/6/2017,177644908,8/2/2017,7931,81.73,56.67,648200.63,449449.77,198750.86
Sub-Saharan Africa,South Africa,Office Supplies,Online,C,5/17/2017,193266522,5/19/2017,714,651.21,524.96,464963.94,374821.44,90142.50
Asia,Singapore,Snacks,Online,H,9/11/2011,948007094,9/26/2011,5221,152.58,97.44,796620.18,508734.24,287885.94
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care,Offline,C,3/25/2011,174727952,4/11/2011,4739,81.73,56.67,387318.47,268559.13,118759.34
Asia,Cambodia,Beverages,Offline,C,3/15/2012,176602923,3/15/2012,9584,47.45,31.79,454760.80,304675.36,150085.44
Central America and the Caribbean,Haiti,Vegetables,Online,L,5/7/2012,177118337,5/26/2012,2107,154.06,90.93,324604.42,191589.51,133014.91
Middle East and North Africa,Saudi Arabia,Snacks,Online,H,3/30/2016,370073020,4/15/2016,1685,152.58,97.44,257097.30,164186.40,92910.90
Central America and the Caribbean,Belize,Baby Food,Offline,M,4/12/2019,569578301,5/30/2019,9732,255.28,159.42,2484384.96,1551475.44,932909.52
Sub-Saharan Africa,Cape Verde,Office Supplies,Offline,L,12/30/2012,660058009,1/5/2013,4688,651.21,524.96,3052872.48,2461012.48,591860.00
Central America and the Caribbean,Belize,Household,Offline,M,11/3/2011,146248471,11/4/2011,7027,668.27,502.54,4695933.29,3531348.58,1164584.71
Central America and the Caribbean,The Bahamas,Cosmetics,Offline,L,9/14/2015,403198516,10/12/2015,4256,437.20,263.33,1860723.20,1120732.48,739990.72
Sub-Saharan Africa,Zambia,Vegetables,Offline,H,4/21/2015,626269471,6/6/2015,5908,154.06,90.93,910186.48,537214.44,372972.04
Middle East and North Africa,United Arab Emirates,Office Supplies,Offline,C,11/21/2018,981135165,11/22/2018,8553,651.21,524.96,5569799.13,4489982.88,1079816.25
Middle East and North Africa,Afghanistan,Personal Care,Online,M,11/2/2014,353781926,11/7/2014,789,81.73,56.67,64484.97,44712.63,19772.34
Europe,San Marino,Cereal,Offline,C,10/4/2019,400508582,10/12/2019,8244,205.70,117.11,1695790.80,965454.84,730335.96
Asia,Maldives,Beverages,Offline,M,9/6/2019,597926461,9/27/2019,8582,47.45,31.79,407215.90,272821.78,134394.12
Asia,Uzbekistan,Cereal,Online,C,3/9/2018,492959392,4/22/2018,6493,205.70,117.11,1335610.10,760395.23,575214.87
Sub-Saharan Africa,Ethiopia,Vegetables,Online,H,5/7/2020,152843701,6/17/2020,8703,154.06,90.93,1340784.18,791363.79,549420.39
Europe,Lithuania,Clothes,Online,L,9/18/2016,615128219,10/3/2016,8964,109.28,35.84,979585.92,321269.76,658316.16
Europe,Russia,Beverages,Online,H,1/11/2010,737674272,2/10/2010,3065,47.45,31.79,145434.25,97436.35,47997.90
Sub-Saharan Africa,Republic of the Congo,Personal Care,Online,M,7/28/2020,348655688,9/8/2020,3821,81.73,56.67,312290.33,216536.07,95754.26
Sub-Saharan Africa,Liberia,Cosmetics,Offline,C,9/1/2016,696558797,9/15/2016,6082,437.20,263.33,2659050.40,1601573.06,1057477.34
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Online,H,4/6/2016,400182425,4/11/2016,1727,651.21,524.96,1124639.67,906605.92,218033.75
Europe,Sweden,Personal Care,Offline,L,6/3/2017,398637902,7/5/2017,4669,81.73,56.67,381597.37,264592.23,117005.14
Europe,Lithuania,Cosmetics,Offline,L,5/11/2014,801349055,5/12/2014,5848,437.20,263.33,2556745.60,1539953.84,1016791.76
Sub-Saharan Africa,Benin,Fruits,Offline,C,6/30/2013,438052213,8/3/2013,8239,9.33,6.92,76869.87,57013.88,19855.99
Sub-Saharan Africa,Tanzania,Fruits,Online,M,5/28/2017,908796203,7/5/2017,1847,9.33,6.92,17232.51,12781.24,4451.27
Central America and the Caribbean,Cuba,Cosmetics,Offline,M,6/21/2019,733942353,7/25/2019,8707,437.20,263.33,3806700.40,2292814.31,1513886.09
Central America and the Caribbean,Honduras,Cereal,Online,M,12/5/2019,304164493,1/7/2020,7887,205.70,117.11,1622355.90,923646.57,698709.33
Sub-Saharan Africa,Liberia,Snacks,Offline,C,7/7/2020,530448949,7/15/2020,487,152.58,97.44,74306.46,47453.28,26853.18
Middle East and North Africa,Yemen,Personal Care,Online,M,2/17/2019,594094550,3/9/2019,4634,81.73,56.67,378736.82,262608.78,116128.04
Asia,Singapore,Snacks,Offline,H,3/4/2015,196712625,4/18/2015,492,152.58,97.44,75069.36,47940.48,27128.88
Sub-Saharan Africa,The Gambia,Meat,Offline,H,11/21/2014,910227000,1/4/2015,5251,421.89,364.69,2215344.39,1914987.19,300357.20
Central America and the Caribbean,Belize,Cosmetics,Offline,C,5/5/2015,326874005,6/18/2015,8137,437.20,263.33,3557496.40,2142716.21,1414780.19
Europe,Albania,Meat,Offline,H,6/10/2020,609202468,6/20/2020,5403,421.89,364.69,2279471.67,1970420.07,309051.60
Europe,Serbia,Snacks,Online,M,3/21/2014,840073716,4/10/2014,5336,152.58,97.44,814166.88,519939.84,294227.04
Middle East and North Africa,Qatar,Household,Online,L,8/17/2019,172661578,9/26/2019,3253,668.27,502.54,2173882.31,1634762.62,539119.69
Europe,Liechtenstein,Vegetables,Online,H,5/11/2018,980452382,6/29/2018,6503,154.06,90.93,1001852.18,591317.79,410534.39
Europe,Bulgaria,Fruits,Offline,L,5/3/2020,307244956,5/18/2020,9465,9.33,6.92,88308.45,65497.80,22810.65
Asia,Thailand,Vegetables,Offline,H,8/10/2015,217150628,8/29/2015,8551,154.06,90.93,1317367.06,777542.43,539824.63
Europe,Montenegro,Snacks,Online,C,10/2/2011,144593226,11/2/2011,7204,152.58,97.44,1099186.32,701957.76,397228.56
Sub-Saharan Africa,Chad,Clothes,Offline,L,11/13/2017,944309079,12/15/2017,896,109.28,35.84,97914.88,32112.64,65802.24
Sub-Saharan Africa,Liberia,Cereal,Offline,C,10/23/2017,841347014,12/6/2017,2133,205.70,117.11,438758.10,249795.63,188962.47
Europe,Montenegro,Personal Care,Online,L,5/2/2018,381068360,6/21/2018,5451,81.73,56.67,445510.23,308908.17,136602.06
Sub-Saharan Africa,Liberia,Cosmetics,Online,C,8/26/2011,179146945,9/18/2011,2417,437.20,263.33,1056712.40,636468.61,420243.79
Sub-Saharan Africa,South Sudan,Meat,Offline,M,11/13/2012,471569097,1/2/2013,6630,421.89,364.69,2797130.70,2417894.70,379236.00
Asia,Tajikistan,Cosmetics,Online,H,11/11/2011,664633643,11/13/2011,8719,437.20,263.33,3811946.80,2295974.27,1515972.53
Sub-Saharan Africa,Mozambique,Snacks,Online,H,9/14/2010,684951913,10/3/2010,1347,152.58,97.44,205525.26,131251.68,74273.58
Sub-Saharan Africa,Cape Verde,Beverages,Offline,C,4/26/2018,529447734,5/22/2018,4205,47.45,31.79,199527.25,133676.95,65850.30
Europe,Czech Republic,Clothes,Offline,M,1/19/2013,715357434,1/29/2013,9016,109.28,35.84,985268.48,323133.44,662135.04
Sub-Saharan Africa,Central African Republic,Snacks,Online,H,3/7/2012,930229842,3/7/2012,4537,152.58,97.44,692255.46,442085.28,250170.18
Sub-Saharan Africa,Cameroon,Fruits,Online,H,2/6/2013,481926286,3/14/2013,1552,9.33,6.92,14480.16,10739.84,3740.32
Central America and the Caribbean,The Bahamas,Fruits,Offline,C,1/22/2020,548620593,3/9/2020,7880,9.33,6.92,73520.40,54529.60,18990.80
Europe,Portugal,Beverages,Online,L,5/31/2017,128799092,6/22/2017,3368,47.45,31.79,159811.60,107068.72,52742.88
Australia and Oceania,Marshall Islands,Fruits,Online,H,10/7/2017,991260612,11/22/2017,4898,9.33,6.92,45698.34,33894.16,11804.18
Europe,Netherlands,Cereal,Online,H,10/31/2013,925116479,11/7/2013,1379,205.70,117.11,283660.30,161494.69,122165.61
Sub-Saharan Africa,Lesotho,Meat,Online,L,11/15/2015,489790523,12/27/2015,8755,421.89,364.69,3693646.95,3192860.95,500786.00
Sub-Saharan Africa,Burundi,Baby Food,Offline,H,4/6/2014,765019071,5/19/2014,4998,255.28,159.42,1275889.44,796781.16,479108.28
Middle East and North Africa,Turkey,Personal Care,Online,C,12/2/2016,200850951,1/16/2017,5115,81.73,56.67,418048.95,289867.05,128181.90
Europe,Slovakia,Personal Care,Offline,C,11/22/2011,467647492,1/3/2012,6140,81.73,56.67,501822.20,347953.80,153868.40
Sub-Saharan Africa,Kenya,Clothes,Offline,M,6/12/2015,606082522,7/3/2015,2142,109.28,35.84,234077.76,76769.28,157308.48
Europe,Lithuania,Office Supplies,Offline,H,4/13/2013,177142369,5/13/2013,9218,651.21,524.96,6002853.78,4839081.28,1163772.50
Asia,Indonesia,Baby Food,Online,C,5/4/2019,612125861,5/9/2019,500,255.28,159.42,127640.00,79710.00,47930.00
Middle East and North Africa,Saudi Arabia,Beverages,Online,M,12/20/2016,262644326,2/5/2017,1148,47.45,31.79,54472.60,36494.92,17977.68
Australia and Oceania,Nauru,Fruits,Online,M,10/12/2017,250621592,11/23/2017,3353,9.33,6.92,31283.49,23202.76,8080.73
Asia,India,Fruits,Offline,M,6/23/2013,418293988,8/4/2013,1341,9.33,6.92,12511.53,9279.72,3231.81
Sub-Saharan Africa,Central African Republic,Beverages,Offline,C,4/26/2013,678210341,6/2/2013,6366,47.45,31.79,302066.70,202375.14,99691.56
Asia,Myanmar,Fruits,Offline,C,5/17/2017,563231980,6/15/2017,1714,9.33,6.92,15991.62,11860.88,4130.74
Sub-Saharan Africa,Chad,Vegetables,Offline,H,3/6/2011,576532733,3/16/2011,7702,154.06,90.93,1186570.12,700342.86,486227.26
Australia and Oceania,New Zealand,Clothes,Offline,H,11/2/2013,841598927,12/7/2013,6680,109.28,35.84,729990.40,239411.20,490579.20
Central America and the Caribbean,Saint Lucia,Office Supplies,Online,C,4/1/2019,652229392,5/17/2019,8026,651.21,524.96,5226611.46,4213328.96,1013282.50
Europe,Norway,Beverages,Online,M,2/6/2012,722535455,3/26/2012,3152,47.45,31.79,149562.40,100202.08,49360.32
Europe,Netherlands,Cereal,Offline,C,1/9/2016,936940944,2/15/2016,501,205.70,117.11,103055.70,58672.11,44383.59
Central America and the Caribbean,Guatemala,Cereal,Online,H,5/15/2013,800182187,6/3/2013,546,205.70,117.11,112312.20,63942.06,48370.14
Europe,Armenia,Clothes,Online,C,9/27/2014,787308013,11/7/2014,792,109.28,35.84,86549.76,28385.28,58164.48
Sub-Saharan Africa,Djibouti,Cereal,Online,L,11/2/2010,993679749,11/13/2010,774,205.70,117.11,159211.80,90643.14,68568.66
Central America and the Caribbean,Dominica,Clothes,Online,C,8/14/2020,684971225,9/10/2020,7062,109.28,35.84,771735.36,253102.08,518633.28
Europe,Iceland,Household,Online,C,1/24/2011,547168767,1/24/2011,8252,668.27,502.54,5514564.04,4146960.08,1367603.96
Asia,China,Cereal,Offline,C,3/4/2020,436571204,4/2/2020,9976,205.70,117.11,2052063.20,1168289.36,883773.84
Europe,Estonia,Baby Food,Offline,H,8/2/2012,729789865,8/27/2012,9893,255.28,159.42,2525485.04,1577142.06,948342.98
Europe,United Kingdom,Personal Care,Online,H,4/9/2013,973748576,5/19/2013,2697,81.73,56.67,220425.81,152838.99,67586.82
Sub-Saharan Africa,Botswana,Meat,Offline,C,8/13/2016,335683667,9/19/2016,5112,421.89,364.69,2156701.68,1864295.28,292406.40
Middle East and North Africa,United Arab Emirates,Household,Online,M,2/28/2013,753143966,3/18/2013,891,668.27,502.54,595428.57,447763.14,147665.43
Sub-Saharan Africa,Botswana,Snacks,Online,M,5/5/2016,183990800,6/24/2016,5821,152.58,97.44,888168.18,567198.24,320969.94
Sub-Saharan Africa,Benin,Clothes,Offline,M,5/14/2014,256397998,6/16/2014,2720,109.28,35.84,297241.60,97484.80,199756.80
Sub-Saharan Africa,Togo,Snacks,Offline,L,4/29/2018,418851888,6/6/2018,6436,152.58,97.44,982004.88,627123.84,354881.04
Europe,Luxembourg,Snacks,Online,L,2/2/2014,190151298,2/19/2014,8849,152.58,97.44,1350180.42,862246.56,487933.86
Middle East and North Africa,Afghanistan,Snacks,Offline,C,5/30/2010,509407556,7/10/2010,3871,152.58,97.44,590637.18,377190.24,213446.94
Europe,Moldova ,Personal Care,Offline,L,3/15/2012,586044490,3/29/2012,2443,81.73,56.67,199666.39,138444.81,61221.58
Europe,Russia,Baby Food,Offline,C,3/12/2015,149798429,3/21/2015,7539,255.28,159.42,1924555.92,1201867.38,722688.54
Sub-Saharan Africa,Sudan,Personal Care,Online,M,4/5/2011,800718200,5/8/2011,9164,81.73,56.67,748973.72,519323.88,229649.84
Middle East and North Africa,Bahrain,Fruits,Offline,M,3/5/2015,159165132,3/11/2015,9354,9.33,6.92,87272.82,64729.68,22543.14
Middle East and North Africa,Libya,Cosmetics,Offline,M,6/23/2016,415813052,8/4/2016,7177,437.20,263.33,3137784.40,1889919.41,1247864.99
Sub-Saharan Africa,Lesotho,Cosmetics,Offline,L,11/28/2016,681648290,12/7/2016,3732,437.20,263.33,1631630.40,982747.56,648882.84
Asia,Malaysia,Vegetables,Offline,M,5/14/2014,137969672,6/6/2014,7147,154.06,90.93,1101066.82,649876.71,451190.11
Asia,Turkmenistan,Fruits,Online,H,12/9/2018,286388528,12/14/2018,7584,9.33,6.92,70758.72,52481.28,18277.44
Europe,Luxembourg,Snacks,Offline,H,6/29/2015,898828685,7/21/2015,2237,152.58,97.44,341321.46,217973.28,123348.18
Middle East and North Africa,Turkey,Personal Care,Offline,H,10/11/2011,467526471,11/27/2011,327,81.73,56.67,26725.71,18531.09,8194.62
Europe,Latvia,Cosmetics,Offline,M,9/16/2011,255030715,11/1/2011,8111,437.20,263.33,3546129.20,2135869.63,1410259.57
Europe,Poland,Cereal,Online,C,1/2/2010,244202744,2/17/2010,3874,205.70,117.11,796881.80,453684.14,343197.66
Europe,Norway,Household,Offline,M,12/7/2018,488216388,12/20/2018,2933,668.27,502.54,1960035.91,1473949.82,486086.09
Europe,Armenia,Vegetables,Online,H,3/7/2020,660557973,4/5/2020,2638,154.06,90.93,406410.28,239873.34,166536.94
Middle East and North Africa,Tunisia ,Office Supplies,Online,C,12/24/2012,505026328,1/1/2013,7368,651.21,524.96,4798115.28,3867905.28,930210.00
North America,Greenland,Beverages,Online,C,6/16/2019,285732781,7/20/2019,3534,47.45,31.79,167688.30,112345.86,55342.44
Sub-Saharan Africa,Cote d'Ivoire,Cereal,Online,C,2/10/2015,337101161,3/7/2015,4580,205.70,117.11,942106.00,536363.80,405742.20
Europe,Albania,Clothes,Online,H,9/25/2019,613867795,10/8/2019,5977,109.28,35.84,653166.56,214215.68,438950.88
Asia,Kazakhstan,Cosmetics,Online,L,3/7/2017,241081511,3/27/2017,231,437.20,263.33,100993.20,60829.23,40163.97
Sub-Saharan Africa,Liberia,Baby Food,Offline,C,3/16/2014,664103639,4/14/2014,1879,255.28,159.42,479671.12,299550.18,180120.94
Central America and the Caribbean,Saint Lucia,Cereal,Online,L,9/18/2013,698608005,10/1/2013,2488,205.70,117.11,511781.60,291369.68,220411.92
Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Offline,L,2/14/2020,580580937,2/22/2020,5656,205.70,117.11,1163439.20,662374.16,501065.04
Middle East and North Africa,Jordan,Clothes,Online,C,8/10/2012,616321265,9/16/2012,2013,109.28,35.84,219980.64,72145.92,147834.72
Central America and the Caribbean,Honduras,Meat,Offline,M,8/21/2014,732440316,9/28/2014,4221,421.89,364.69,1780797.69,1539356.49,241441.20
Central America and the Caribbean,Haiti,Baby Food,Offline,C,9/27/2013,925861918,11/3/2013,1971,255.28,159.42,503156.88,314216.82,188940.06
Sub-Saharan Africa,Kenya,Meat,Offline,C,5/7/2020,813822400,5/28/2020,6988,421.89,364.69,2948167.32,2548453.72,399713.60
Asia,Myanmar,Vegetables,Offline,M,8/28/2019,983870589,9/15/2019,8026,154.06,90.93,1236485.56,729804.18,506681.38
Europe,Malta,Clothes,Offline,H,10/2/2019,743867814,10/21/2019,5871,109.28,35.84,641582.88,210416.64,431166.24
Asia,Kazakhstan,Cereal,Online,M,3/9/2014,371987903,3/11/2014,8342,205.70,117.11,1715949.40,976931.62,739017.78
Asia,Singapore,Cosmetics,Offline,C,5/29/2019,666717183,6/7/2019,5285,437.20,263.33,2310602.00,1391699.05,918902.95
Middle East and North Africa,Algeria,Cosmetics,Online,H,12/4/2015,696854484,12/25/2015,3582,437.20,263.33,1566050.40,943248.06,622802.34
Central America and the Caribbean,Honduras,Beverages,Online,H,11/6/2017,951511132,12/6/2017,2144,47.45,31.79,101732.80,68157.76,33575.04
Europe,Estonia,Meat,Online,L,1/19/2014,190110957,2/6/2014,6912,421.89,364.69,2916103.68,2520737.28,395366.40
Asia,Cambodia,Vegetables,Offline,C,4/17/2016,392390286,5/19/2016,5860,154.06,90.93,902791.60,532849.80,369941.80
Sub-Saharan Africa,Guinea-Bissau,Office Supplies,Online,L,2/10/2011,908397948,2/12/2011,3994,651.21,524.96,2600932.74,2096690.24,504242.50
Central America and the Caribbean,Guatemala,Fruits,Offline,M,8/16/2018,708495271,9/13/2018,8350,9.33,6.92,77905.50,57782.00,20123.50
Sub-Saharan Africa,Togo,Office Supplies,Offline,H,4/30/2012,633356082,6/13/2012,2994,651.21,524.96,1949722.74,1571730.24,377992.50
Australia and Oceania,Fiji,Vegetables,Online,L,1/4/2010,243966710,2/19/2010,4026,154.06,90.93,620245.56,366084.18,254161.38
Europe,Iceland,Office Supplies,Online,M,11/27/2014,971625983,12/19/2014,4575,651.21,524.96,2979285.75,2401692.00,577593.75
Sub-Saharan Africa,Madagascar,Beverages,Online,H,5/18/2010,267945230,6/9/2010,9803,47.45,31.79,465152.35,311637.37,153514.98
Asia,Uzbekistan,Cosmetics,Online,C,9/19/2018,154848277,10/23/2018,1901,437.20,263.33,831117.20,500590.33,330526.87
Middle East and North Africa,Syria,Cosmetics,Offline,H,3/31/2010,474571454,4/9/2010,5094,437.20,263.33,2227096.80,1341403.02,885693.78
Europe,Georgia,Fruits,Offline,C,8/12/2015,239663589,9/18/2015,637,9.33,6.92,5943.21,4408.04,1535.17
Central America and the Caribbean,Dominica,Cereal,Online,H,6/30/2013,782986009,7/19/2013,1814,205.70,117.11,373139.80,212437.54,160702.26
Europe,Poland,Beverages,Offline,L,10/26/2010,807712543,12/14/2010,8945,47.45,31.79,424440.25,284361.55,140078.70
Europe,Hungary,Fruits,Online,L,12/31/2015,437329518,1/29/2016,4378,9.33,6.92,40846.74,30295.76,10550.98
Asia,Tajikistan,Cosmetics,Online,C,3/24/2012,765635764,3/27/2012,7492,437.20,263.33,3275502.40,1972868.36,1302634.04
Europe,Kosovo,Cereal,Online,L,4/14/2016,706742608,5/11/2016,9698,205.70,117.11,1994878.60,1135732.78,859145.82
Middle East and North Africa,Yemen,Snacks,Online,L,9/19/2019,145073878,11/4/2019,9439,152.58,97.44,1440202.62,919736.16,520466.46
Sub-Saharan Africa,Chad,Clothes,Online,H,7/28/2015,385365903,8/11/2015,7189,109.28,35.84,785613.92,257653.76,527960.16
Asia,Malaysia,Office Supplies,Online,M,6/11/2014,102667510,7/12/2014,453,651.21,524.96,294998.13,237806.88,57191.25
Central America and the Caribbean,Haiti,Cereal,Online,L,9/26/2017,292340028,9/30/2017,8766,205.70,117.11,1803166.20,1026586.26,776579.94
Australia and Oceania,Papua New Guinea,Fruits,Offline,M,4/28/2012,220057284,5/29/2012,8695,9.33,6.92,81124.35,60169.40,20954.95
Sub-Saharan Africa,Benin,Snacks,Offline,L,8/27/2018,571805608,9/19/2018,8841,152.58,97.44,1348959.78,861467.04,487492.74
Central America and the Caribbean,Nicaragua,Fruits,Online,M,7/24/2010,303883826,8/21/2010,4832,9.33,6.92,45082.56,33437.44,11645.12
Sub-Saharan Africa,Angola,Vegetables,Offline,C,11/8/2016,692903268,11/16/2016,4330,154.06,90.93,667079.80,393726.90,273352.90
Australia and Oceania,Samoa ,Fruits,Online,L,9/21/2019,385787761,10/5/2019,2026,9.33,6.92,18902.58,14019.92,4882.66
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,H,7/21/2013,349773633,8/1/2013,4646,109.28,35.84,507714.88,166512.64,341202.24
Middle East and North Africa,Israel,Snacks,Offline,H,4/11/2010,722409713,5/31/2010,5942,152.58,97.44,906630.36,578988.48,327641.88
Australia and Oceania,Marshall Islands,Baby Food,Online,C,8/19/2012,361557328,10/5/2012,1703,255.28,159.42,434741.84,271492.26,163249.58
Sub-Saharan Africa,Burundi,Cosmetics,Online,L,7/10/2019,895390307,7/13/2019,4744,437.20,263.33,2074076.80,1249237.52,824839.28
Asia,Malaysia,Clothes,Offline,L,8/26/2020,872394979,10/4/2020,9916,109.28,35.84,1083620.48,355389.44,728231.04
Middle East and North Africa,Algeria,Vegetables,Online,L,7/31/2012,711370170,8/6/2012,9096,154.06,90.93,1401329.76,827099.28,574230.48
Sub-Saharan Africa,Senegal,Vegetables,Online,M,10/5/2014,451427209,11/1/2014,6198,154.06,90.93,954863.88,563584.14,391279.74
Europe,Switzerland,Cosmetics,Offline,H,9/19/2010,201989924,9/23/2010,2162,437.20,263.33,945226.40,569319.46,375906.94
Europe,Estonia,Baby Food,Offline,H,7/24/2017,592794644,8/4/2017,9963,255.28,159.42,2543354.64,1588301.46,955053.18
Australia and Oceania,Kiribati,Cereal,Offline,L,6/23/2016,523890197,6/28/2016,9606,205.70,117.11,1975954.20,1124958.66,850995.54
Sub-Saharan Africa,Mauritania,Personal Care,Offline,L,7/19/2011,315637910,7/26/2011,3127,81.73,56.67,255569.71,177207.09,78362.62
Sub-Saharan Africa,Senegal,Meat,Online,L,9/11/2013,358711612,10/8/2013,9592,421.89,364.69,4046768.88,3498106.48,548662.40
Sub-Saharan Africa,Nigeria,Household,Offline,C,12/21/2013,664097630,1/29/2014,101,668.27,502.54,67495.27,50756.54,16738.73
Australia and Oceania,Marshall Islands,Fruits,Offline,M,4/8/2010,413094794,4/11/2010,2784,9.33,6.92,25974.72,19265.28,6709.44
Middle East and North Africa,Pakistan,Snacks,Online,M,9/5/2012,207314431,10/21/2012,7802,152.58,97.44,1190429.16,760226.88,430202.28
Asia,Thailand,Vegetables,Online,L,10/5/2016,718680369,11/2/2016,2347,154.06,90.93,361578.82,213412.71,148166.11
Asia,Bangladesh,Cosmetics,Offline,L,7/29/2019,439428937,8/26/2019,5642,437.20,263.33,2466682.40,1485707.86,980974.54
Central America and the Caribbean,Cuba,Cereal,Offline,H,5/3/2014,632108962,5/12/2014,3944,205.70,117.11,811280.80,461881.84,349398.96
Europe,Serbia,Meat,Online,L,2/26/2017,379581773,4/17/2017,5537,421.89,364.69,2336004.93,2019288.53,316716.40
Sub-Saharan Africa,Djibouti,Beverages,Online,M,11/28/2018,635021197,12/14/2018,5739,47.45,31.79,272315.55,182442.81,89872.74
